SN,Date,Confirmed_cases_total,Confirmed_cases_new,Confirmed _cases_active,Recoveries_total,Recoveries_daily,Deaths_total,Deaths_daily,RT-PCR_tests_total,RT-PCR_tests_daily,Test_positivity_rate,Recovery_rate,Case_fatality_rate
65,27-Mar,4,1,3,1,0,0,0,802,44,0.50,25.00,0.00
66,28-Mar,5,1,4,1,0,0,0,875,73,0.57,20.00,0.00
67,29-Mar,5,0,4,1,0,0,0,917,42,0.55,20.00,0.00
68,30-Mar,5,0,4,1,0,0,0,993,76,0.50,20.00,0.00
69,31-Mar,5,0,4,1,0,0,0,1060,67,0.47,20.00,0.00
70,1-Apr,5,0,4,1,0,0,0,1145,85,0.44,20.00,0.00
71,2-Apr,6,1,5,1,0,0,0,1185,40,0.51,16.67,0.00
72,3-Apr,6,0,5,1,0,0,0,1264,79,0.47,16.67,0.00
73,4-Apr,9,3,8,1,0,0,0,1521,257,0.59,11.11,0.00
74,5-Apr,9,0,8,1,0,0,0,1642,121,0.55,11.11,0.00
75,6-Apr,9,0,8,1,0,0,0,1890,248,0.48,11.11,0.00
76,7-Apr,9,0,8,1,0,0,0,2122,232,0.42,11.11,0.00
